,HL1,HL2,HL3,HL4,HL5,HL6,SUM_HL,Behavior
0,9,14,9,16,8,10,66,43
1,13,13,12,12,13,12,75,53
2,12,13,13,11,11,8,68,40
3,20,20,20,18,16,15,109,46
4,20,20,20,20,12,13,105,46
5,20,20,20,19,13,16,108,40
6,15,16,11,16,9,11,78,38
7,12,12,12,12,9,9,66,38
8,15,18,16,18,19,15,101,41
9,17,16,14,16,12,12,87,42
10,20,16,18,19,15,13,101,38
11,11,17,18,15,14,15,90,40
12,15,17,17,17,13,14,93,42
13,18,18,16,20,13,14,99,37
14,14,13,16,19,13,15,90,46
15,14,16,15,12,8,16,81,43
16,17,13,12,19,14,13,88,40
17,16,10,11,13,12,13,75,42
18,20,16,15,20,14,9,94,41
19,18,20,18,20,12,14,102,40
20,15,15,15,15,15,16,91,46
21,16,16,16,19,6,9,82,43
22,19,17,18,20,13,16,103,43
23,16,13,13,20,14,12,88,45
24,11,14,15,16,13,14,83,49
25,20,19,15,16,14,13,97,39
26,17,17,17,17,15,12,95,39
27,18,18,20,19,13,13,101,49
28,13,14,13,12,7,9,68,32
29,13,14,13,15,13,11,79,41
30,8,10,12,9,7,11,57,40
31,13,14,13,20,14,11,85,42
32,14,16,13,16,13,13,85,42
33,14,14,13,18,14,10,83,41
34,20,20,18,14,12,15,99,44
35,14,17,16,20,14,13,94,42
36,15,18,18,17,5,12,85,49
37,16,16,16,18,19,18,103,21
38,16,16,16,16,12,16,92,47
39,16,16,18,18,17,16,101,48
40,10,10,9,10,6,4,49,47
41,14,16,15,15,11,12,83,45
42,10,15,18,12,20,11,86,44
43,17,17,13,14,11,11,83,42
44,15,18,16,16,7,7,79,45
45,9,11,12,12,12,12,68,32
46,17,15,9,20,7,8,76,55
47,10,10,11,18,10,20,79,41
48,19,20,20,13,11,16,99,48
49,12,13,14,13,12,12,76,42
50,15,17,18,16,13,15,94,44
51,18,19,19,19,14,13,102,45
52,12,15,13,12,11,10,73,37
53,20,20,18,16,15,12,101,38
54,10,14,13,20,11,9,77,45
55,9,14,12,16,5,10,66,50
56,12,12,12,12,12,10,70,47
57,19,18,19,18,14,9,97,40
58,20,15,20,17,14,12,98,37
59,20,20,18,20,16,17,111,49
60,16,17,18,17,16,16,100,42
61,16,17,18,17,16,16,100,42
62,16,17,18,17,16,16,100,42
63,20,20,20,20,20,13,113,38
64,19,20,20,20,20,19,118,37
65,20,16,20,20,10,12,98,51
66,18,16,16,18,17,20,105,39
67,17,16,18,20,18,15,104,37
68,17,19,16,18,13,13,96,42
69,17,20,19,20,18,18,112,46
70,13,11,9,12,14,12,71,45
71,4,6,4,8,4,4,30,48
72,17,16,13,16,14,11,87,33
73,20,17,16,18,18,19,108,40
74,18,17,18,16,20,16,105,39
75,14,14,15,10,10,14,77,61
76,19,20,20,10,19,19,107,45
77,15,18,13,20,18,11,95,56
78,17,16,15,15,16,15,94,45
79,20,20,20,19,20,19,118,44
80,15,12,15,13,14,13,82,49
81,20,19,19,19,19,18,114,44
82,18,17,16,15,11,13,90,52
83,20,20,20,17,17,20,114,42
84,18,18,20,17,13,14,100,40
85,19,18,18,20,17,17,109,44
86,20,18,20,19,16,16,109,38
87,16,15,13,16,16,16,92,44
88,15,15,16,16,16,16,94,38
89,19,15,14,14,10,12,84,47
90,18,20,19,17,20,20,114,56
91,18,19,20,20,20,20,117,42
92,17,20,16,18,9,16,96,27
93,16,16,16,16,14,12,90,41
94,16,17,16,16,19,20,104,39
95,18,15,12,20,12,14,91,39
96,10,17,18,20,9,13,87,46
97,8,16,10,14,9,11,68,41
98,16,15,16,20,16,17,100,50
99,16,16,17,13,16,15,93,32
100,19,20,19,20,16,7,101,41
101,13,15,9,11,14,13,75,42
102,15,13,13,16,7,7,71,39
103,18,12,14,20,7,9,80,48
104,17,18,20,19,10,10,94,37
105,15,15,15,13,6,10,74,38
106,16,16,17,19,13,10,91,51
107,13,12,12,14,14,15,80,44
108,20,20,20,20,20,20,120,43
109,12,12,11,13,10,15,73,40
110,18,19,16,17,11,16,97,46
111,15,18,17,15,17,20,102,44
112,14,13,11,18,9,9,74,44
113,12,12,12,16,12,8,72,40
114,15,16,17,19,20,19,106,43
115,17,18,16,16,19,17,103,44
116,13,17,10,15,14,8,77,49
117,16,16,16,16,12,16,92,47
118,14,14,16,16,14,12,86,53
119,14,15,14,16,13,12,84,41
120,16,18,19,18,16,13,100,47
121,14,17,16,20,9,10,86,43
122,14,17,16,20,9,10,86,43
123,13,14,15,12,13,15,82,48
124,14,17,16,20,9,10,86,43
